id,flight_type,year,month,flights_arrival,flights_departure,flights_total,pax_arrival,pax_departure,pax_total,cargo_arrival,cargo_departure,cargo_total,inserted_at,updated_at
22,domestic,2022,6,"18,544","18,544","37,088","3,360,240","3,360,240","6,720,480","18,927.4","18,927.4","37,854.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
23,domestic,2022,7,"18,839","18,840","37,679","3,195,218","3,195,396","6,390,614","19,006.1","19,007.2","38,013.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
24,domestic,2022,8,"18,610","18,609","37,219","3,219,591","3,219,413","6,439,004","20,855.5","20,854.5","41,709.9",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
25,domestic,2023,1,"15,703","15,703","31,406","2,667,604","2,667,604","5,335,208","19,091","19,091","38,182",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
26,domestic,2023,2,"14,635","14,635","29,270","2,598,921","2,598,921","5,197,842","17,829.6","17,829.6","35,659.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
27,domestic,2023,3,"16,190","16,190","32,380","2,625,100","2,625,100","5,250,200","17,435.1","17,435.1","34,870.1",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
28,domestic,2023,4,"16,010","16,010","32,020","2,799,992","2,799,992","5,599,984","17,295.5","17,295.5","34,591",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
29,domestic,2023,5,"16,642","16,642","33,284","2,906,567","2,906,567","5,813,134","17,766.3","17,766.3","35,532.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
30,domestic,2023,6,"16,287","16,287","32,574","2,833,447","2,833,447","5,666,894","16,873","16,873","33,746",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
31,domestic,2023,7,"15,965","15,965","31,930","2,617,760","2,617,760","5,235,520","16,254.6","16,254.6","32,509.2",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
32,domestic,2023,8,"16,028","16,028","32,056","2,769,909","2,769,909","5,539,818","18,656.9","18,656.9","37,313.8",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
33,domestic,2024,1,"15,336","15,336","30,672","2,564,525","2,564,525","5,129,050","17,573","17,573","35,146",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
34,domestic,2024,2,"14,553","14,553","29,106","2,450,350","2,450,350","4,900,700","16,984","16,984","33,968",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
