id,raw_no,lang,category,venue,event_name,period_raw,host_organizer,start_date,end_date
233,233,국문,전시일정,제2전시장 4(C-D)홀,2022 부산캣쇼,20221021 1000~20221023 1800,주최: ㈜KNN / 주관: ㈜미래전람,2022-10-21,2022-10-23
234,234,국문,전시일정,제2전시장 4(A-B)홀,2022 부산펫쇼,20221021 1000~20221023 1800,주최: ㈜KNN / 주관: ㈜미래전람,2022-10-21,2022-10-23
235,235,국문,전시일정,제1전시장 1홀,제19회 부산국제음식박람회,20221021 1000~20221023 1800,부산광역시 / (사)한국외식업중앙회부산광역시지회,2022-10-21,2022-10-23
236,236,국문,전시일정,"제2전시장 5B,5C홀",부산광역시 평생학습 주간,20221022 1000~20221023 1700,부산인재평생교육원,2022-10-22,2022-10-23
237,237,국문,전시일정,제1전시장 1~3홀,블록체인 위크 인 부산 2022,20221027 1000~20221029 1700,"부산광역시 / BWB조직위원회(준), 부산블록체인산업협회, 벡스코",2022-10-27,2022-10-29
238,238,국문,전시일정,"제 2전시장 5A, 5B홀",KOMED 2022 지역의료분권 및 메디부산 시민건강박람회,20221028 0900~20221029 1800,부산광역시/KNN,2022-10-28,2022-10-29
239,239,국문,전시일정,제2전시장 4홀,2022 부산 의료기기 전시회 (KIMES BUSAN 2022),20221028 1000~20221030 1700,"한국이앤엑스, 한국의료기기공업협동조합, 한국의료기기산업협회, KNN",2022-10-28,2022-10-30
240,240,국문,전시일정,제1전시장 1~3홀 전체,2022 부산국제수산엑스포,20221102 1000~20221105 1700,"부산광역시 / BEXCO, 한국수산무역협회, 수협중앙회",2022-11-02,2022-11-05
241,241,국문,전시일정,제1회의실 313호,2022년 광역수산행정협의회 임시회,20221102 0000~20221102 0000,부산광역시,2022-11-02,2022-11-02
242,242,국문,전시일정,제1회의실 211-213호,제17회 부산수산정책포럼,20221102 0000~20221102 0000,(사)부산수산정책포럼/부산광역시,2022-11-02,2022-11-02
