id,title,genre,location,seats,region,t_d,s_y,s_m,s_d,e_y,e_m,e_d
1468,HOSHI X WOOZI FAN CONCERT: WARNING [부산],대중음악,부산사직실내체육관,14099,부산,HOSHI X WOOZI FAN CONCERT: WARNING [부산]|2025-07-19,2025,7,19,2025,7,20
1469,"P1Harmony LIVE TOUR, P1ustage H: MOST WANTED [서울]",대중음악,고려대학교 화정체육관,8057,서울,"P1Harmony LIVE TOUR, P1ustage H: MOST WANTED [서울]|2025-08-09",2025,8,9,2025,8,10
1470,포레스텔라 콘서트: THE WAVE,대중음악,장충체육관,4507,서울,포레스텔라 콘서트: THE WAVE|2025-07-26,2025,7,26,2025,7,27
1471,MONSTA X: CONNECT X,대중음악,올림픽공원,15000,서울,MONSTA X: CONNECT X|2025-07-18,2025,7,18,2025,7,20
1472,KISS OF LIFE 1st WORLD TOUR: KISS ROAD [서울 (앵콜) ],대중음악,장충체육관,4507,서울,KISS OF LIFE 1st WORLD TOUR: KISS ROAD [서울 (앵콜) ]|2025-07-19,2025,7,19,2025,7,20
1473,HOSHI X WOOZI FAN CONCERT: WARNING [서울],대중음악,잠실종합운동장,11032,서울,HOSHI X WOOZI FAN CONCERT: WARNING [서울]|2025-07-11,2025,7,11,2025,7,13
1474,MyK FESTA [서울],대중음악,올림픽공원,15000,서울,MyK FESTA [서울]|2025-06-19,2025,6,19,2025,6,21
1475,CRAVITY CONCERT: Dare to Crave,대중음악,올림픽공원,5003,서울,CRAVITY CONCERT: Dare to Crave|2025-07-12,2025,7,12,2025,7,13
1476,"PLAVE Asia Tour, DASH: Quantum Leap [서울]",대중음악,올림픽공원,15000,서울,"PLAVE Asia Tour, DASH: Quantum Leap [서울]|2025-08-15",2025,8,15,2025,8,17
1477,#RUNSEOKJIN_EP.TOUR in JAPAN,대중음악,마쿠하리 메쎄,15000,,#RUNSEOKJIN_EP.TOUR in JAPAN|2025-07-05,2025,7,5,2025,7,13
1478,7 ROCK PRIME,대중음악,잠실종합운동장,11032,서울,7 ROCK PRIME|2025-08-15,2025,8,15,2025,8,16
1479,싸이흠뻑쇼: SUMMERSWAG [부산],대중음악,부산아시아드 경기장,4549,부산,싸이흠뻑쇼: SUMMERSWAG [부산]|2025-08-15,2025,8,15,2025,8,16
1480,싸이흠뻑쇼: SUMMERSWAG [인천],대중음악,인천아시아드주경기장,29376,인천,싸이흠뻑쇼: SUMMERSWAG [인천]|2025-06-28,2025,6,28,2025,6,29
1481,싸이흠뻑쇼: SUMMERSWAG [속초],대중음악,속초종합경기장,25000,강원,싸이흠뻑쇼: SUMMERSWAG [속초]|2025-07-26,2025,7,26,2025,7,26
